config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga150k2x	PSOA	2012434	143	0.0186	0.6044	0.4061	0.0041	0.0016	1153.9841	0.4829	
nsga150k2x	PSOA	2004527	144	0.0186	0.6820	0.4018	0.0045	0.0016	2225.3062	0.6806	
nsga150k2x	PSOA	2028284	144	0.0155	0.7092	0.4056	0.0050	0.0021	1637.8215	0.6567	
nsga150k2x	PSOA	2014365	144	0.0310	0.8539	0.4034	0.0119	0.0016	2021.6268	0.8810	
nsga150k2x	PSOA	2019922	142	0.0186	0.6699	0.4058	0.0040	0.0018	1492.7050	0.4858	
nsga150k2x	WAMS	1508801	120	0.0130	0.4194	0.4913	0.0021	0.0011	703.1492	0.3240	
nsga150k2x	WAMS	1463516	120	0.0130	0.4286	0.4906	0.0021	0.0011	554.8762	0.3549	
nsga150k2x	WAMS	1469780	120	0.0078	0.4090	0.4945	0.0019	0.0009	323.4159	0.3421	
nsga150k2x	WAMS	1473404	120	0.0156	0.4239	0.4952	0.0022	0.0013	344.2744	0.4178	
nsga150k2x	WAMS	1469388	120	0.0156	0.4451	0.4974	0.0015	0.0014	294.4073	0.4511	
nsga150k2x	WAMS	1476975	120	0.0286	0.4621	0.4963	0.0020	0.0011	218.4149	0.3470	
nsga150k2x	WAMS	1472150	120	0.0234	0.4305	0.4965	0.0018	0.0010	152.7203	0.4327	
nsga150k2x	WAMS	1468868	120	0.0156	0.4603	0.4967	0.0015	0.0010	448.1010	0.4118	
nsga150k2x	WAMS	1472463	119	0.0417	0.4522	0.4998	0.0012	0.0009	462.8350	0.4562	
nsga150k2x	WAMS	1471123	120	0.0182	0.5140	0.4961	0.0020	0.0010	512.2943	0.4778	
nsga150k2x	WAMS	1470999	120	0.0156	0.4737	0.4966	0.0018	0.0017	517.2713	0.5055	
nsga150k2x	WAMS	1470527	120	0.0182	0.4081	0.4931	0.0021	0.0013	531.2033	0.4262	
nsga150k2x	WAMS	1468649	120	0.0182	0.4401	0.4969	0.0021	0.0008	194.1198	0.3511	
nsga150k2x	WAMS	1462285	120	0.0234	0.4772	0.4968	0.0029	0.0009	214.3803	0.3131	
nsga150k2x	WAMS	1460935	120	0.0130	0.3839	0.4924	0.0019	0.0010	750.9132	0.3399	
nsga150k2x	WAMS	1466871	120	0.0286	0.4492	0.4993	0.0013	0.0008	211.1005	0.4266	
nsga150k2x	WAMS	1467100	120	0.0234	0.4301	0.4976	0.0018	0.0008	486.8301	0.2941	
nsga150k2x	WAMS	1467532	120	0.0339	0.4491	0.4988	0.0015	0.0009	412.7506	0.3886	
nsga150k2x	WAMS	1467100	120	0.0312	0.4336	0.4976	0.0016	0.0009	422.3850	0.4068	
nsga150k2x	WAMS	1471981	119	0.0234	0.4828	0.4994	0.0014	0.0008	242.1950	0.4038	
nsga150k2x	WAMS	1462394	120	0.0104	0.5018	0.4922	0.0022	0.0011	783.1033	0.3520	
nsga150k2x	WAMS	1473991	120	0.0156	0.3889	0.4970	0.0017	0.0008	277.3913	0.3181	
nsga150k2x	WAMS	1477259	120	0.0130	0.4464	0.4945	0.0018	0.0009	515.9708	0.3509	
nsga150k2x	WAMS	1478887	120	0.0234	0.4115	0.4947	0.0021	0.0010	237.6087	0.3151	
nsga150k2x	WAMS	1483110	120	0.0156	0.4731	0.4911	0.0025	0.0012	590.6740	0.4071	
nsga150k2x	WAMS	1474499	120	0.0104	0.4666	0.4959	0.0015	0.0008	191.9978	0.3709	
nsga150k2x	WAMS	1474998	120	0.0052	0.4199	0.4953	0.0018	0.0009	460.4455	0.3728	
nsga150k2x	WAMS	1484994	120	0.0286	0.4061	0.4958	0.0018	0.0011	5.4000	0.3772	
nsga150k2x	WAMS	1480082	120	0.0156	0.4922	0.4968	0.0016	0.0011	490.2856	0.3375	
nsga150k2x	WAMS	1475143	120	0.0339	0.5029	0.4977	0.0024	0.0009	476.7300	0.3840	
nsga150k2x	WAMS	1475338	120	0.0469	0.4759	0.5010	0.0015	0.0007	320.5131	0.3821	
nsga150k2x	WAMS	1480617	120	0.0208	0.4414	0.4978	0.0016	0.0009	111.1796	0.4263	
nsga150k2x	WAMS	1477904	120	0.0208	0.4316	0.4955	0.0016	0.0010	492.8959	0.4388	
nsga150k2x	WAMS	1475320	120	0.0208	0.3814	0.4972	0.0014	0.0008	516.7394	0.3512	
nsga150k2x	WAMS	1479292	120	0.0208	0.5212	0.4984	0.0018	0.0008	314.6858	0.3988	
nsga150k2x	WAMS	1477563	120	0.0104	0.4760	0.4961	0.0016	0.0009	465.6738	0.3884	
nsga150k2x	WAMS	1477157	120	0.0312	0.4812	0.4979	0.0016	0.0009	287.9496	0.3990	
nsga150k2x	WAMS	1478769	120	0.0260	0.4245	0.4987	0.0014	0.0008	280.9715	0.3544	
nsga150k2x	WAMS	1479859	120	0.0234	0.4482	0.4920	0.0023	0.0011	410.2066	0.3622	
nsga150k2x	WAMS	1475048	120	0.0052	0.4155	0.4932	0.0019	0.0009	431.0619	0.3281	
nsga150k2x	WAMS	1474881	120	0.0104	0.4305	0.4965	0.0017	0.0009	184.9118	0.3126	
nsga150k2x	WAMS	1470646	120	0.0156	0.4196	0.4951	0.0015	0.0009	536.8116	0.3073	
nsga150k2x	WAMS	1475046	120	0.0078	0.4570	0.4941	0.0018	0.0010	631.9912	0.3609	
nsga150k2x	WAMS	1480827	120	0.0052	0.4210	0.4905	0.0024	0.0012	463.3807	0.3938	
nsga150k2x	WAMS	1479441	120	0.0104	0.4510	0.4908	0.0022	0.0017	696.5633	0.4559	
nsga150k2x	WAMS	1475976	120	0.0156	0.4661	0.4938	0.0021	0.0010	319.3167	0.3737	
nsga150k2x	WAMS	1474970	120	0.0312	0.3945	0.4962	0.0015	0.0011	670.2811	0.4105	
nsga150k2x	WAMS	1476110	120	0.0104	0.3785	0.4970	0.0018	0.0010	285.6539	0.3163	
nsga150k2x	WAMS	1483442	120	0.0208	0.4878	0.4946	0.0021	0.0011	479.1669	0.4193	
nsga150k2x	WAMS	1478870	120	0.0521	0.3952	0.5000	0.0013	0.0009	143.1517	0.4138	
nsga150k2x	WMET	642038	88	0.0274	0.4091	0.5183	0.0013	0.0015	106.4467	0.4810	
nsga150k2x	WMET	641152	88	0.0603	0.4487	0.5204	0.0012	0.0009	126.6622	0.4164	
nsga150k2x	WMET	634670	88	0.0274	0.3795	0.5110	0.0021	0.0009	335.2907	0.3044	
