config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	PARM	393618	35	0.0519	0.5147	0.4970	0.0132	0.0078	1496.7131	0.5446	
nsga5k2x	PARM	393155	39	0.0000	0.6405	0.4553	0.0140	0.0114	2515.0695	0.7409	
nsga5k2x	PARM	368884	43	0.0260	0.6099	0.4878	0.0122	0.0078	1109.3100	0.6212	
nsga5k2x	PARM	294697	43	0.0260	0.6900	0.4922	0.0118	0.0092	377.9357	0.6635	
nsga5k2x	PARM	293792	41	0.0519	0.6657	0.4687	0.0131	0.0098	621.5898	0.6758	
nsga5k2x	PARM	294682	40	0.0519	0.8334	0.4947	0.0152	0.0081	675.3787	0.9348	
nsga5k2x	PARM	296133	39	0.0260	0.5496	0.4880	0.0126	0.0089	1243.5994	0.5951	
nsga5k2x	PARM	294112	31	0.0649	0.5598	0.4933	0.0112	0.0104	1481.0860	0.6454	
nsga5k2x	PARM	295499	35	0.0130	0.6896	0.4817	0.0156	0.0102	830.6905	0.6607	
nsga5k2x	PARM	294227	39	0.0130	0.6571	0.4846	0.0113	0.0087	1027.0170	0.7520	
nsga5k2x	PARM	293744	45	0.0130	0.7280	0.4834	0.0147	0.0077	1534.2593	0.7360	
nsga5k2x	PARM	295379	42	0.0390	0.5374	0.5003	0.0107	0.0080	1284.0339	0.5486	
nsga5k2x	PARM	295418	40	0.0000	0.6495	0.4617	0.0134	0.0098	2364.2650	0.7362	
nsga5k2x	PARM	295116	35	0.0130	0.6549	0.4874	0.0134	0.0091	576.1564	0.6652	
nsga5k2x	PARM	294717	44	0.0130	0.7183	0.4807	0.0117	0.0098	828.4550	0.7319	
nsga5k2x	PARM	295865	44	0.0130	0.8092	0.4852	0.0140	0.0093	658.1058	0.9160	
nsga5k2x	PARM	294948	35	0.0260	0.6673	0.4794	0.0140	0.0085	1985.4105	0.7280	
nsga5k2x	PARM	294038	40	0.0390	0.5730	0.4878	0.0103	0.0088	1514.7702	0.6557	
