config	inst	time	count	best	spr	hv	gd	
rs5k	I4	119034	36	1	0.6688	0.3904	0.0223	
rs5k	I4	118677	29	0	0.7192	0.4200	0.0207	
rs5k	I4	119529	30	2	0.7234	0.3892	0.0320	
rs5k	I4	118351	26	0	0.5880	0.4290	0.0248	
rs5k	I4	118795	30	0	0.6854	0.3885	0.0292	
rs5k	I4	119292	26	1	0.8744	0.4342	0.0358	
rs5k	I4	118719	26	0	0.6139	0.4654	0.0190	
rs5k	I4	118693	39	0	0.6699	0.3974	0.0247	
rs5k	I4	118946	27	0	0.6219	0.4072	0.0264	
rs5k	I4	118626	29	1	0.6113	0.4220	0.0227	
rs5k	I4	118856	30	0	0.6810	0.3912	0.0278	
rs5k	I4	119166	25	1	0.7362	0.4228	0.0336	
rs5k	I4	119007	20	3	0.6973	0.4677	0.0290	
rs5k	I4	118878	23	0	0.6642	0.4424	0.0272	
rs5k	I4	119159	24	1	0.6113	0.4453	0.0220	
rs5k	I4	119134	33	0	0.7334	0.3883	0.0245	
rs5k	I4	118730	26	2	0.6616	0.4144	0.0230	
rs5k	I4	118705	22	3	0.8231	0.4166	0.0430	
rs5k	I4	119173	28	3	0.7238	0.4431	0.0234	
rs5k	I4	118975	29	3	0.7737	0.4246	0.0227	
rs5k	I4	119206	28	0	0.7200	0.3763	0.0310	
rs5k	I4	118859	19	1	0.7268	0.4185	0.0415	
rs5k	I4	118690	23	0	0.5850	0.4108	0.0243	
rs5k	I4	119050	23	2	0.7891	0.4513	0.0274	
rs5k	I4	119068	29	0	0.6355	0.4061	0.0276	
rs5k	I4	119019	26	2	0.6895	0.4369	0.0395	
rs5k	I4	118592	20	3	0.6471	0.4505	0.0261	
rs5k	I4	118664	28	1	0.6635	0.3673	0.0295	
rs5k	I4	119259	20	2	0.7083	0.3982	0.0267	
rs5k	I4	118873	27	0	0.6478	0.4100	0.0318	
rs5k	I4	118994	25	0	0.7340	0.3820	0.0485	
rs5k	I4	118768	25	1	0.6191	0.4241	0.0225	
rs5k	I4	119130	28	1	0.6340	0.4161	0.0313	
