inst	noh	mks	cst
I2	29.129	398.2	208007.5629
I2	46.6534	382	210378.3289
I2	62.8393	367.8	212912.613
I2	42.4512	386.5	210056.2257
I2	22.3079	406.9	208253.0534
I2	47.3256	381	210298.7297
I2	71.2531	360.7	214487.6008
I2	60.6244	369.5	212476.12
I2	53.5015	375.9	211501.1782
I2	80.4807	354.1	216659.3797
I2	19.6035	409	207670.313
I2	17.2074	413.1	208250.9193
I2	18.7657	410.8	208113.1831
I2	34.9589	393.7	209178.2894
I2	99.9977	346.3	224507.1242
I2	36.0139	392.7	209324.9584
I2	27.4958	400.8	208302.9161
I2	50.9608	378.1	211082.1154
I2	56.3241	372.7	211490.0803
I2	32.9029	395.5	208910.3816
I2	57.8457	371.6	211845.2834
I2	24.6451	404.9	208659.0225
I2	63.8735	366.8	213171.603
I2	51.7796	376.8	210810.9772
I2	68.4446	363.2	214003.5213
I2	56.1134	373.1	211564.1937
I2	76.7729	356.5	215607.7218
I2	61.808	368.3	212591.514
I2	78.2731	356.1	216381.9563
I2	96.2265	347.5	222881.8019
I2	49.3451	378.8	210334.1039
I2	14.1462	417.1	208408.3171
I2	31.7814	397.3	209090.8454
I2	22.8451	405.6	207954.0657
I2	22.782	406.2	208124.1851
I2	44.8544	383.6	210055.9756
I2	33.564	394.6	208872.8439
I2	36.6184	391.7	209239.8688
I2	83.3046	351.6	217188.6092
I2	68.0624	363.3	213837.472
I2	41.6777	387.5	210066.9055
I2	36.6716	391.5	209163.5485
I2	85.0782	350.5	217749.1846
I2	78.8606	356	216622.9314
I2	20.7539	407.9	207841.7558
I2	47.2512	381.9	210665.5817
I2	45.2667	383.2	210037.1095
I2	9.6185	418.8	206609.9904
I2	18.0804	412.4	208446.3249
I2	38.5951	389.5	209345.9747
I2	42.6671	386.4	210163.7319
I2	36.1786	392.4	209276.3588
I2	75.6109	357.9	215621.6014
I2	29.7681	397.4	207963.5687
I2	42.7609	385.9	209946.0854
I2	79.1821	355.9	216724.8442
I2	63.2419	367.2	212858.0763
I2	65.8087	364.9	213232.3679
I2	80.5948	353.8	216576.424
I2	61.1452	368.8	212409.9388
I2	87.2809	349.7	218542.6736
I2	15.7338	414.1	207900.6347
I2	54.1495	374.8	211187.2737
I2	56.8817	372.5	211646.6243
I2	28.6609	399.5	208348.0608
I2	51.0023	376.9	210426.0806
I2	47.3253	381.5	210526.0604
I2	28.308	399.6	208167.9987
I2	64.1664	366.6	213135.3228
I2	69.4855	361.7	213943.7946
I2	60.0878	370.3	212528.5306
I2	72.4555	359.4	214459.8481
I2	34.525	394.5	209329.3355
I2	69.801	361.5	214048.3747
I2	23.6099	405	208095.2383
I2	41.7808	387.1	210036.0715
I2	35.368	393.4	209299.9141
I2	46.2299	382.1	210256.5265
I2	32.5705	395.9	208856.8463
I2	37.8436	391	209566.4725
I2	39.2611	388.6	209223.4878
I2	52.9768	376.6	211506.6449
I2	96.2879	346.9	222514.5025
I2	25.1011	404.4	208638.436
I2	92.7192	348.6	221259.6348
I2	40.8161	387.6	209622.318
I2	64.5291	365.7	212958.8741
I2	65.1586	365.5	213159.5449
I2	90.1253	348.8	219875.6178
I2	79.4446	355.6	216869.736
I2	65.8669	364.3	213096.2617
I2	108.7426	345.3	229138.9004
I2	43.1562	384.8	209729.4688
I2	76.2442	357.3	215704.0816
I2	18.1728	412.3	208461.3271
I2	48.2353	380.8	210697.3223
I2	75.392	358.1	215641.5359
I2	96.0808	348.4	223140.72
I2	54.4974	373.8	210972.8606
I2	26.8336	401.2	208156.9482
I2	34.5805	393.8	209004.5699
I2	73.2384	359.3	214936.6783
I2	80.4313	355.5	217309.7222
I2	46.1458	382.6	210319.8666
I2	18.6842	412	208612.3119
I2	42.3825	386.7	210078.4201
I2	53.8112	375.1	211146.7386
I3	64.0028	585	318002.9249
I3	43.1227	604.8	315272.6205
I3	110.9181	538.8	322914.7765
I3	57.2524	591.7	317153.8587
I3	59.1412	590.3	317684.2065
I3	94.2568	555.1	320795.6397
