config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I2	2731596	106	156	0.0000	0.6230	0.4888	0.0045	
nsga150k2x	I2	2737142	117	156	0.0000	0.7437	0.4891	0.0056	
nsga150k2x	I2	2732169	94	156	0.0385	0.6439	0.5015	0.0041	
nsga150k2x	I2	2736503	99	156	0.0128	0.6437	0.4929	0.0048	
nsga150k2x	I2	2734607	103	156	0.0128	0.6638	0.4856	0.0047	
nsga150k2x	I2	2735679	114	156	0.0128	0.6664	0.4805	0.0048	
nsga150k2x	I2	2729600	100	156	0.0192	0.6281	0.4937	0.0048	
nsga150k2x	I2	2733612	99	156	0.0064	0.5985	0.4915	0.0045	
nsga150k2x	I2	2738090	101	156	0.0000	0.6616	0.4902	0.0044	
nsga150k2x	I2	2735528	93	156	0.0321	0.6737	0.4999	0.0040	
nsga150k2x	I2	2736008	103	156	0.0192	0.6392	0.4992	0.0043	
nsga150k2x	I2	2735115	104	156	0.0192	0.7090	0.4963	0.0050	
nsga150k2x	I2	2733676	100	156	0.0256	0.5600	0.4933	0.0039	
nsga150k2x	I2	2738758	108	156	0.0128	0.6637	0.4950	0.0040	
nsga150k2x	I2	2737396	96	156	0.0192	0.6037	0.4942	0.0042	
nsga150k2x	I2	2619386	115	156	0.0192	0.6945	0.4911	0.0043	
rs150k	I2	5265042	26	156	0.0000	0.7272	0.0896	0.0899	
rs150k	I2	4210732	22	156	0.0000	0.7533	0.0981	0.0962	
rs150k	I2	4212785	28	156	0.0000	0.8106	0.0870	0.1024	
rs150k	I2	4208803	31	156	0.0000	0.7649	0.0831	0.1068	
rs150k	I2	4217760	31	156	0.0000	0.8691	0.0971	0.0942	
rs150k	I2	4209028	35	156	0.0000	0.8611	0.0889	0.0918	
rs150k	I2	4216941	33	156	0.0000	0.8374	0.0779	0.1016	
rs150k	I2	4254849	37	156	0.0000	0.9056	0.0849	0.0776	
rs150k	I2	4362065	35	156	0.0000	0.8591	0.0837	0.0826	
rs150k	I2	4363011	30	156	0.0000	0.8055	0.0805	0.1055	
rs150k	I2	4427262	30	156	0.0000	0.8119	0.1027	0.0986	
rs150k	I2	4383107	30	156	0.0000	0.7992	0.0950	0.0842	
rs150k	I2	4372017	26	156	0.0000	0.7322	0.0812	0.1004	
rs150k	I2	4409258	31	156	0.0000	0.8409	0.0804	0.0897	
rs150k	I2	4363619	24	156	0.0000	0.7794	0.0948	0.0990	
rs150k	I2	4362859	39	156	0.0000	0.7862	0.0862	0.0770	
rs150k	I2	4362775	28	156	0.0000	0.7907	0.0812	0.1079	
rs150k	I2	4368792	35	156	0.0000	0.8385	0.0820	0.0786	
rs150k	I2	4409592	35	156	0.0000	0.9126	0.0771	0.0971	
rs150k	I2	4410459	27	156	0.0000	0.8201	0.1147	0.0842	
rs150k	I2	4410304	34	156	0.0000	0.8372	0.0809	0.0972	
rs150k	I2	4413840	36	156	0.0000	0.8326	0.0813	0.0902	
rs150k	I2	4411867	24	156	0.0000	0.7663	0.1000	0.0834	
rs150k	I2	4412253	25	156	0.0000	0.8914	0.1019	0.0989	
rs150k	I2	4413152	29	156	0.0000	0.8161	0.0949	0.0825	
rs150k	I2	3618159	27	156	0.0000	0.7669	0.1045	0.0950	
rs150k	I2	2818076	32	156	0.0000	0.8058	0.0842	0.0988	
rs150k	I2	2817227	26	156	0.0000	0.6934	0.0865	0.0927	
rs150k	I2	2817461	25	156	0.0000	0.8635	0.1107	0.0968	
rs150k	I2	2815322	35	156	0.0000	0.8231	0.0786	0.0928	
rs150k	I2	2864846	29	156	0.0000	0.8173	0.0861	0.0827	
rs150k	I2	2817647	34	156	0.0000	0.7306	0.0863	0.0988	
rs150k	I2	2812774	32	156	0.0000	0.8776	0.0994	0.0920	
rs150k	I2	2843758	39	156	0.0000	0.8264	0.0777	0.0799	
rs150k	I2	2908397	35	156	0.0000	0.8124	0.0744	0.0837	
rs150k	I2	2819043	34	156	0.0000	0.8318	0.0979	0.0870	
rs150k	I2	2819381	35	156	0.0000	0.7912	0.0845	0.0782	
rs150k	I2	2816898	29	156	0.0000	0.7526	0.0855	0.0917	
rs150k	I2	2818782	32	156	0.0000	0.9436	0.1077	0.0880	
rs150k	I2	2819342	27	156	0.0000	0.7954	0.0907	0.1059	
rs150k	I2	2820117	39	156	0.0000	0.8903	0.0964	0.0799	
rs150k	I2	2820203	27	156	0.0000	0.8019	0.0816	0.0952	
rs150k	I2	2819012	36	156	0.0000	0.7455	0.0672	0.0818	
rs150k	I2	2823197	35	156	0.0000	0.8664	0.1037	0.0850	
rs150k	I2	2819903	29	156	0.0000	0.8063	0.0915	0.0919	
rs150k	I2	2819707	26	156	0.0000	0.8948	0.0951	0.1104	
rs150k	I2	2822283	29	156	0.0000	0.7681	0.0974	0.0933	
rs150k	I2	2821936	38	156	0.0000	0.8295	0.0770	0.0844	
rs150k	I2	2818256	25	156	0.0000	0.7738	0.1043	0.0919	
rs150k	I2	2254996	29	156	0.0000	0.8218	0.0835	0.0897	
nsga150k2x	I3	2014760	143	323	0.0124	0.5862	0.4046	0.0039	
nsga150k2x	I3	2018386	144	323	0.0062	0.6495	0.4013	0.0060	
nsga150k2x	I3	2010212	144	323	0.0217	0.5469	0.4038	0.0038	
nsga150k2x	I3	2015989	144	323	0.0248	0.5992	0.4034	0.0033	
nsga150k2x	I3	2010396	143	323	0.0279	0.7791	0.4055	0.0098	
nsga150k2x	I3	2044504	144	323	0.0000	0.5743	0.3993	0.0038	
nsga150k2x	I3	2241054	143	323	0.0031	0.6273	0.4008	0.0043	
nsga150k2x	I3	2035317	144	323	0.0062	0.6416	0.3931	0.0068	
nsga150k2x	I3	2017359	144	323	0.0248	0.5798	0.4039	0.0029	
nsga150k2x	I3	2015170	144	323	0.0279	0.6185	0.4084	0.0038	
nsga150k2x	I3	2016078	144	323	0.0062	0.5740	0.3985	0.0038	
nsga150k2x	I3	2018419	143	323	0.0217	0.5952	0.4007	0.0040	
nsga150k2x	I3	2017808	144	323	0.0402	0.5690	0.4122	0.0034	
nsga150k2x	I3	2011509	143	323	0.0248	0.6102	0.4192	0.0040	
nsga150k2x	I3	2018828	144	323	0.0217	0.5879	0.3990	0.0030	
nsga150k2x	I3	2031589	144	323	0.0248	0.5761	0.4067	0.0028	
nsga150k2x	I3	2013152	144	323	0.0186	0.5615	0.3938	0.0034	
nsga150k2x	I3	2016663	144	323	0.0155	0.5457	0.4088	0.0034	
nsga150k2x	I3	2023156	144	323	0.0155	0.5648	0.4008	0.0032	
nsga150k2x	I3	2016395	144	323	0.0124	0.6596	0.3980	0.0039	
nsga150k2x	I3	2004007	144	323	0.0093	0.6171	0.3991	0.0050	
nsga150k2x	I3	2016888	143	323	0.0279	0.6406	0.4037	0.0039	
nsga150k2x	I3	2013643	142	323	0.0093	0.6800	0.4041	0.0041	
nsga150k2x	I3	2007301	143	323	0.0248	0.5832	0.3996	0.0031	
nsga150k2x	I3	2021555	144	323	0.0372	0.5990	0.4095	0.0028	
nsga150k2x	I3	2008372	144	323	0.0310	0.7113	0.4090	0.0047	
nsga150k2x	I3	2011756	144	323	0.0186	0.6061	0.4072	0.0033	
nsga150k2x	I3	2020781	144	323	0.0186	0.5405	0.4003	0.0037	
nsga150k2x	I3	2017291	144	323	0.0341	0.5863	0.4036	0.0031	
nsga150k2x	I3	2016076	143	323	0.0124	0.6336	0.4050	0.0036	
nsga150k2x	I3	2010740	141	323	0.0310	0.6557	0.4048	0.0049	
nsga150k2x	I3	2022031	144	323	0.0217	0.6322	0.4019	0.0038	
nsga150k2x	I3	2012069	144	323	0.0279	0.5577	0.4090	0.0034	
nsga150k2x	I3	2022940	144	323	0.0124	0.5994	0.4028	0.0035	
nsga150k2x	I3	2008411	144	323	0.0186	0.7712	0.3982	0.0105	
nsga150k2x	I3	2014211	144	323	0.0248	0.6125	0.4040	0.0030	
nsga150k2x	I3	2013904	144	323	0.0186	0.6247	0.4017	0.0035	
nsga150k2x	I3	2020527	144	323	0.0248	0.6640	0.4069	0.0040	
nsga150k2x	I3	2009721	144	323	0.0155	0.6250	0.4061	0.0039	
nsga150k2x	I3	2019080	139	323	0.0186	0.6680	0.4010	0.0056	
nsga150k2x	I3	2012435	143	323	0.0217	0.9136	0.3983	0.0168	
nsga150k2x	I3	2008998	144	323	0.0279	0.6126	0.3918	0.0043	
nsga150k2x	I3	2008158	143	323	0.0341	0.5777	0.4077	0.0033	
nsga150k2x	I3	2008013	144	323	0.0124	0.6317	0.4000	0.0055	
nsga150k2x	I3	2014722	140	323	0.0093	0.5883	0.4039	0.0045	
nsga150k2x	I3	2012434	143	323	0.0186	0.6044	0.4061	0.0041	
nsga150k2x	I3	2004527	144	323	0.0186	0.6820	0.4018	0.0045	
nsga150k2x	I3	2028284	144	323	0.0155	0.7092	0.4056	0.0050	
nsga150k2x	I3	2014365	144	323	0.0310	0.8539	0.4034	0.0119	
nsga150k2x	I3	2019922	142	323	0.0186	0.6699	0.4058	0.0040	
rs150k	I3	2278400	40	323	0.0000	0.7932	0.0000	0.1446	
rs150k	I3	2279990	49	323	0.0000	1.0330	0.0007	0.1475	
rs150k	I3	2279907	38	323	0.0000	0.8446	0.0077	0.1315	
rs150k	I3	2294562	42	323	0.0000	0.8444	0.0293	0.1230	
rs150k	I3	2278962	45	323	0.0000	0.8362	0.0039	0.1434	
rs150k	I3	2279109	34	323	0.0000	0.7439	0.0000	0.1398	
rs150k	I3	2278800	37	323	0.0000	0.8368	0.0000	0.1380	
rs150k	I3	2279694	52	323	0.0000	0.8429	0.0000	0.1288	
rs150k	I3	2280091	38	323	0.0000	0.8185	0.0049	0.1418	
rs150k	I3	2278256	43	323	0.0000	0.7429	0.0000	0.1274	
rs150k	I3	2279283	37	323	0.0000	0.8224	0.0000	0.1202	
rs150k	I3	2279957	43	323	0.0000	0.8483	0.0024	0.1309	
