inst	noh	mks	cst
I3	105.0743	482.2	292612.3186
I3	143.4943	456.6	303049.2836
I3	36.2845	550	285053.7253
I3	94.1063	492.3	291187.7428
I3	82.6113	500.6	288174.7583
I3	10.1704	579.1	283856.1313
I3	43.5877	540.4	284537.3055
I3	82.5624	500.7	288368.5285
I3	51.1639	535.6	286674.8312
I3	45.0579	538.6	284664.5569
I3	96.8914	490.7	291776.4423
I3	19.463	564.9	282427.4617
I4	72.3514	223.7	149674.6495
I4	12.6091	263.6	133819.7384
I4	13.4937	262.8	133951.8775
I4	30.1463	247.2	136202.0682
I4	31.9412	246.2	136776.9467
I4	41.9498	238.7	139008.1887
I4	76.7828	222.2	151627.9081
I4	26.5577	250.2	135573.1055
I4	77.5379	220.9	151469.0602
I4	27.9397	248.9	135766.4375
I4	50.526	232.6	141103.4952
I4	19.5349	256.3	134429.2997
I4	76.7142	222.6	151789.7863
I4	76.0341	222.9	151531.6292
I4	47.4021	234.8	140313.4254
I4	8.6399	267.5	133402.7831
I4	24.3087	252.3	135258.8408
I4	26.3742	250.8	135759.5816
I4	26.0227	251.1	135717.4399
I4	17.2145	258.5	134100.5157
I4	34.1927	244.2	137114.4943
I4	40.7938	239	138495.0499
I4	9.1223	266.7	133293.2265
I4	24.4891	251.3	134948.2234
I4	3.956	272.8	133237.1502
I4	73.9385	223.3	150443.7799
I4	70.418	224.1	148787.5338
I4	73.6077	223.5	150314.6903
I4	11.4837	264.8	133743.202
I4	61.5576	227.3	144979.1501
I4	7.8258	268	133208.3555
I4	42.0238	238.4	138880.8728
I4	23.5435	253.2	135305.7673
I4	14.109	262.5	134156.0799
I4	12.6351	263.2	133671.7412
I4	21.1277	254.9	134699.7066
I4	26.0564	251.1	135715.3162
I4	15.2987	260.4	133937.4907
I4	10.3784	266	133696.5849
I4	11.0725	265.4	133833.8416
I4	18.8619	257.5	134593.332
I4	23.3539	253.4	135239.8221
I4	23.552	253.1	135157.9261
I4	67.6319	224.8	147379.9091
I4	49.229	233.5	140746.5659
I4	8.0043	267.9	133236.6563
I4	31.5121	246.3	136584.1279
I4	32.8926	245.1	136833.19
I4	34.2081	243.9	137012.3268
I4	44.2589	236.6	139323.1466
I4	39.8294	240.1	138398.3508
I4	39.5827	240.2	138329.5182
I4	4.0621	272.5	133183.3383
I4	5.0471	271.3	133156.7926
I4	38.2328	241.2	138063.8893
I4	37.03	242.1	137799.0329
I4	32.9664	244.9	136753.6756
I4	34.7154	243.4	137019.3696
I4	35.3736	242.9	137198.3982
I4	37.6651	241.6	137862.3765
I4	33.7756	244.6	137096.5707
I4	7.1676	269	133293.058
I4	27.4637	249.5	135783.0389
I4	20.9326	255.4	134760.0484
I4	14.4971	262	134159.6794
I4	6.1151	269.3	132840.4589
I4	14.5078	261.8	134035.4736
I4	48.6937	233.7	140529.9561
I4	14.9509	261.3	134075.2651
I4	20.7017	255.7	134717.3517
I4	12.3032	264.2	133947.4191
I4	37.7669	241.4	137854.219
I4	42.2772	238	138862.0264
I4	41.5067	238.9	138848.3598
I4	13.8697	262.6	134075.6776
I4	11.1713	265	133645.8888
I4	9.8283	266.3	133543.5207
I4	22.9998	253.5	135061.872
I4	27.8393	249.1	135833.2128
I4	11.5415	264.7	133753.5858
I4	30.026	247.5	136287.4751
I4	29.8187	247.9	136350.5686
I4	7.3747	268.8	133324.0272
I4	18.7275	257.8	134550.2435
I4	43.2425	237.5	139169.1179
I4	45.3284	236.1	139721.3417
I4	44.8113	236.2	139453.7595
I4	38.7634	241	138275.261
I4	38.605	241.1	138213.8637
I4	43.6734	237.2	139270.6211
I4	47.1862	235.1	140301.0796
I4	55.2797	230	142569.3745
I4	50.8052	232.3	141060.9272
I4	51.679	230.9	140912.7245
I4	47.1297	235.2	140321.5215
I4	16.1339	259.8	134026.1428
I4	47.5249	234.2	140063.5287
I4	41.8027	238.8	138982.8813
I4	40.0599	239.9	138511.6556
I4	50.0934	232.8	140939.1042
I4	59.5409	228.2	144199.5418
I4	62.8229	227	145605.5901
I4	56.7233	228.9	142913.2232
I4	63.8653	226.1	145763.6556
I4	66.5478	225.5	147053.8402
I4	58.0908	228.6	143563.6603
I4	55.5953	229.5	142545.0858
I4	59.2849	228.3	144157.4584
I4	57.241	228.8	143172.0258
I4	63.1456	226.9	145753.1002
I4	56.487	229.1	142895.856
I4	63.4453	226.6	145762.3988
I4	62.506	227.2	145457.5277
I4	28.1304	248.6	135741.6695
I4	28.6698	248.1	135791.4056
I4	18.9275	257.4	134575.2799
I4	9.6686	266.4	133498.6671
I4	27.1242	249.7	135723.8507
I4	30.7296	246.8	136320.6509
I4	35.9373	242.7	137430.827
I4	42.9665	237.8	139107.3111
I4	36.2548	242.5	137508.7261
I4	34.6092	243.8	137186.1891
I4	19.9699	255.9	134466.4963
I4	65.2154	225.7	146402.463
I4	42.8722	237.9	139202.4004
I4	43.9079	237	139332.6729
I4	43.3321	237.4	139214.984
I4	12.6238	263.5	133846.355
I4	17.0377	258.9	134200.3591
I4	16.9189	259.2	134297.3527
I4	18.0681	258.2	134444.3841
I4	7.7231	268.4	133300.6495
I4	60.7381	227.5	144651.2853
I4	69.5951	224.5	148422.4847
I4	23.8647	252.4	135094.2391
I4	21.7377	254.4	134775.2456
I4	45.3781	235.4	139480.0054
I4	66.6029	225.3	147036.8965
I4	62.4665	227.2	145503.5543
I4	58.3086	228.5	143630.1756
I4	54.2914	230.3	142169.5389
I4	26.4001	250.7	135750.8976
I4	66.9226	225.2	147177.5565
I4	58.0773	228.6	143621.7074
I4	50.8774	231.8	140884.1089
I4	62.6307	227.1	145550.4815
I4	22.2646	253.8	134758.0459
I4	16.8356	259.3	134228.0394
I4	11.441	264.9	133763.8616
I4	31.4034	246.6	136684.1694
I4	59.868	228.1	144330.8886
I4	31.9859	245.2	136327.3567
I4	37.0721	241.9	137691.5668
I4	4.6631	271.4	132990.1492
I4	40.2883	239.6	138480.3807
I4	7.0439	269.1	133244.7744
I4	38.9319	240.4	138021.8566
I4	12.0554	264.5	133954.6932
I4	26.4174	250.4	135619.0598
I4	12.4705	263.7	133819.1533
I4	36.6943	242.4	137723.1076
I4	5.5141	270.8	133190.8158
I4	53.3491	230.6	141721.8108
I4	51.4052	231.3	140945.4247
I4	10.4826	265.6	133592.5329
I4	5.9213	270.5	133309.2018
I4	48.1111	234.1	140365.8498
I4	19.3291	256.7	134440.1906
I4	30.4062	247	136274.632
I4	3.799	274.3	133895.7472
I4	30.6007	246.9	136353.9236
I4	34.0704	244.5	137200.1675
I4	11.1338	265.1	133702.031
I4	15.5092	260.2	133897.0944
I4	35.3681	243.1	137268.8777
I4	43.0432	237.6	139086.5895
I5	25.1915	139.8	81824.045
I5	43.1652	131.9	88606.235
I5	15.4279	147.8	79967.7679
I5	23.1249	141.6	81430.7983
I5	13.6176	149.5	79669.4749
I5	8.1822	154.7	78984.3069
I5	12.9232	150	79538.1013
I5	11.5553	151.5	79420.0614
I5	33.5058	135.1	84377.0213
I5	9.8299	153.2	79282.7276
I5	16.2203	146.9	79974.1502
I5	12.169	150.9	79545.1847
I5	18.3773	145.4	80543.3104
I5	17.0908	146.5	80292.9887
I5	27.1166	138.6	82311.3564
I5	31.3473	136.4	83711.8383
I5	24.9106	140.1	81771.1444
I5	30.2521	136.9	83300.4507
I5	26.3764	139.4	82281.7112
I5	7.4512	155.2	78823.9785
I5	10.787	152	79209.3113
I5	21.388	142.9	81056.2689
I5	13.8929	149.3	79753.4821
I5	6.3422	156.4	78764.4991
I5	13.5237	149.6	79658.2669
I5	7.0933	155.6	78837.8975
I5	21.0313	143.1	80983.5404
I5	6.5801	156.1	78764.0571
I5	4.6999	158.3	78697.1125
I5	15.5593	147.5	79864.0523
I5	47.0763	130.7	90355.9348
I5	45.6373	130.8	89537.8526
I5	45.2506	131	89393.5683
I5	33.0028	135.5	84289.634
I5	44.3022	131.4	89019.2646
I5	43.3827	131.7	88648.6305
I5	44.0963	131.5	88945.0851
I5	2.4934	160.4	78449.81
I5	26.6819	139	82262.6161
I5	22.8882	141.8	81409.2591
I5	19.7156	144.3	80756.0633
I5	11.6813	151	79272.0405
I5	5.2306	157.8	78789.513
I5	14.6498	148.4	79757.8373
I5	19.277	144.5	80599.5387
I5	19.721	144	80615.2725
I5	10.0426	152.8	79171.108
I5	3.5855	158.7	78288.5424
I5	2.7247	160	78396.8877
I5	35.9083	134.2	85347.156
I5	6.8948	155.7	78766.4694
I5	3.4862	159.3	78502.6919
I5	4.9085	157.9	78661.5946
I5	9.0079	153.6	78976.2012
I5	5.4084	157	78494.6513
I5	6.0834	156.5	78688.274
I5	14.9996	148.1	79801.8742
I5	8.0809	154.9	79062.239
I5	5.3801	157.4	78679.43
I5	10.6347	152.3	79276.7619
I5	11.0211	151.9	79365.7316
I5	12.8614	150.3	79587.0336
I5	35.7104	134.3	85261.8694
I5	14.0062	149.2	79792.8347
I5	13.4534	149.6	79666.0367
I5	15.8987	147.4	80053.6408
I5	13.2314	149.9	79646.4007
I5	30.9367	136.6	83562.2708
