inst	noh	mks	cst
I0	29.6169	141.8	85286.076
I0	44.4542	127	86935.7548
I0	13.3174	158.1	83641.2454
I0	37.4268	134	86145.6876
I0	25.7179	145.7	84875.0589
I0	7.2144	164.2	83040.5015
I0	39.5431	131.9	86429.102
I0	47.9304	123.5	87359.5165
I0	32.5852	138.9	85618.457
I0	10.7311	160.7	83384.0027
I0	18.7631	152.7	84162.9129
I0	39.6756	131.8	86382.9698
I0	38.9184	132.5	86288.5857
I0	15.3393	156.1	83838.425
I0	19.4377	152	84257.7758
I0	33.5162	137.9	85697.2442
I0	17.5429	153.9	84061.2908
I0	42.39	129.1	86696.5238
I0	50.6171	120.8	87686.5783
I0	45.9304	125.5	87146.8176
I0	25.3878	146.1	84845.3744
I0	10.6356	160.8	83375.5575
I0	49.417	122	87545.0827
I0	9.7178	161.7	83283.6281
I0	42.5187	128.9	86763.0241
I0	21.9447	149.5	84486.3034
I0	32.2707	139.2	85537.7685
I0	17.2155	154.2	83994.6359
I0	21.6455	149.8	84459.1208
I0	37.5211	133.9	86198.5758
I0	31.9722	139.5	85467.0568
I0	31.3127	140.1	85471.0166
I0	12.6201	158.8	83553.8719
I0	16.9253	154.5	83985.2863
I0	29.8415	141.6	85306.3731
I0	20.4352	151	84362.4695
I0	44.1154	127.3	86943.0947
I0	23.8132	147.6	84672.2296
I0	19.4549	152	84250.5983
I0	37.2244	134.2	86135.8459
I0	11.1252	160.3	83420.6636
I0	42.3252	129.1	86747.5306
I0	43.4291	128	86855.9779
I0	46.6182	124.8	87231.4509
I0	19.9386	151.5	84352.0565
I0	14.4499	157	83750.1512
I0	20.4887	151	84314.0147
I0	25.6505	145.8	84865.8624
I0	5.0504	166.4	82818.0963
I0	18.0142	153.4	84155.4585
I0	7.4598	164	83048.1828
I0	21.2907	150.2	84418.3716
I0	23.4258	148	84665.7423
I0	26.9284	144.5	84974.1475
I0	11.9238	159.5	83480.6745
I0	17.0557	154.4	83993.0687
I0	28.2194	143.2	85211.9546
I0	31.2621	140.2	85445.1233
I0	19.0388	152.4	84195.8929
I0	17.6199	153.8	84079.7536
I0	36.3654	135.1	85973.0123
I0	10.532	160.9	83362.039
I0	28.8634	142.6	85196.455
I0	15.8125	155.6	83896.4475
I0	47.8365	123.6	87355.6489
I0	48.3218	123.1	87395.9699
I0	47.7251	123.7	87332.6525
I0	4.413	167	82757.5749
I0	47.4114	124	87307.5763
I0	45.837	125.6	87129.427
I0	44.7353	126.7	86996.5423
I0	29.2948	142.2	85218.1987
I0	25.0169	146.4	84832.5252
I0	48.1197	123.3	87393.7613
I0	45.1432	126.3	87046.1508
I0	9.5102	161.9	83263.2083
I0	5.8558	165.6	82896.7809
I0	10.2246	161.2	83334.8805
I0	42.0795	129.4	86680.2208
I0	26.9118	144.5	85019.7399
I0	37.6135	133.8	86218.4566
I0	18.9254	152.5	84193.9278
I0	16.7419	154.7	83967.1213
I0	46.3301	125.1	87182.7929
I0	16.152	155.3	83902.0628
I0	18.3234	153.1	84136.5994
I0	42.0595	129.4	86683.1547
I0	26.6181	144.8	85041.9935
I0	22.1907	149.3	84513.7023
I0	51.13	120.3	87751.0546
I0	15.3805	156.1	83826.4
I0	8.8491	162.6	83194.7745
I0	6.1315	165.3	82920.4757
I0	36.1454	135.3	86060.6966
I0	37.4216	134	86203.1488
I0	32.23	139.2	85551.2601
I0	25.6271	145.8	84940.1507
I0	18.422	153	84166.2148
I0	35.0227	136.4	85842.6807
I0	43.6198	127.8	86858.5426
I0	22.9177	148.5	84588.1101
I0	46.7174	124.7	87238.6659
I0	31.6189	139.8	85560.6589
I0	33.4568	138	85655.0493
I0	13.8091	157.7	83686.663
I0	45.4155	126	87048.3759
I0	27.4149	144	85090.5072
I0	22.1137	149.3	84598.0448
I0	5.8142	165.6	82906.8685
I0	37.8174	133.6	86233.3179
I0	11.2189	160.2	83449.1413
I0	49.1156	122.3	87499.0616
I0	39.447	132	86354.882
I0	36.9426	134.5	86086.5645
I0	46.3321	125.1	87167.2305
I0	48.5366	122.9	87421.9187
